Order,AreaNumb,Taxon,Rel,Hclust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,369,Actinobacteria,0.049878562,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,369,Bacteroidetes,0.038978733,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,369,Cyanobacteria,0.018245365,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,369,Firmicutes,0.25460577,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,369,Planctomycetes,0.010070493,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,369,Proteobacteria,0.478229963,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,369,Verrucomicrobia,0.021444227,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,369,Other,0.128546887,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,371,Actinobacteria,0.012488738,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,371,Bacteroidetes,0.081580664,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,371,Cyanobacteria,0.00276492,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,371,Firmicutes,0.11423157,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,371,Planctomycetes,0.001646525,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,371,Proteobacteria,0.777905496,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,371,Verrucomicrobia,0.00329305,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,371,Other,0.006089037,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,391,Actinobacteria,0.039310814,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,391,Bacteroidetes,0.093674904,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,391,Cyanobacteria,0.014101111,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,391,Firmicutes,0.023260032,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,391,Planctomycetes,0.010927227,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,391,Proteobacteria,0.718431195,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,391,Verrucomicrobia,0.076218545,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,391,Other,0.024076172,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,417,Actinobacteria,0.010624566,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,417,Bacteroidetes,0.114056863,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,417,Cyanobacteria,0.049581306,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,417,Firmicutes,0.020355476,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,417,Planctomycetes,0.004302784,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,417,Proteobacteria,0.54433522,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
